cve_muni,entidad,municipio,ic_rezedu_porcentaje,ic_asalud_porcentaje,ic_segsoc_porcentaje,ic_cv_porcentaje,ic_sbv_porcentaje,ic_ali_porcentaje
01001,Aguascalientes,Aguascalientes,11.669963122,15.0593773546,36.3988819902,3.732472507,2.9594077506,17.953285719
01002,Aguascalientes,Asientos,19.8266744324,5.9791772303,69.0103622272,7.7931035972,16.1990452151,24.6517937762
01003,Aguascalientes,Calvillo,23.2206803604,9.8755975617,73.6300321807,5.2032374373,7.7350218047,17.3352799264
01004,Aguascalientes,Cosío,14.6936356733,5.5209932764,62.7087663779,7.9288566573,7.6144075484,20.7207955377
01005,Aguascalientes,Jesús María,17.266156609,15.1697780477,45.0059833972,8.1936107742,6.3434535355,18.7374132007
01006,Aguascalientes,Pabellón de Arteaga,15.3237384842,10.5415921957,49.8061705564,5.7966650292,5.8350944915,19.3568946796
01007,Aguascalientes,Rincón de Romos,14.5924048923,10.3455162843,60.8383170376,7.8178380673,7.653205855,22.6602938093
01008,Aguascalientes,San José de Gracia,15.2800503461,5.2359974827,74.7136563877,6.7715544368,8.5714285714,20.8936438011
01009,Aguascalientes,Tepezalá,20.7859634092,8.2507254619,68.1739087832,6.1359346508,10.4563785895,21.438562817
01010,Aguascalientes,El Llano,19.6542580573,9.116731952,63.7656687923,8.1745774901,17.1182547505,24.7517030266
01011,Aguascalientes,San Francisco de los Romo,16.9243362942,11.5736059051,37.524928678,5.4405210116,3.2250015935,20.9389136393
02001,Baja California,Ensenada,17.9458617917,14.4648252688,54.1921764673,12.643090655,27.9313939573,18.2999276771
02002,Baja California,Mexicali,11.6019315243,15.4426898207,41.3862479052,8.281376778,10.0927723518,14.01045269
02003,Baja California,Tecate,13.9539155426,11.4546633707,44.3628788992,11.6672216609,17.1232701501,13.2605840524
02004,Baja California,Tijuana,12.6712272414,20.9579512765,46.2521317658,8.3520041859,7.3458392872,13.8672956665
02005,Baja California,Playas de Rosarito,13.491337353,18.9073788683,62.3656259583,12.1837466093,18.4606862762,16.9675086851
03001,Baja California Sur,Comondú,18.3089233931,8.2391120801,53.674445576,8.1299079806,9.737226449,26.1143222456
03002,Baja California Sur,Mulegé,23.3069136725,8.763874806,47.7025289478,22.6883453158,20.6427374658,13.5083687984
