dur,res,educ,mean,var,n,y
0-4,Suva,none,0.5,1.14,8,4
0-4,Suva,lower,1.14,0.73,21,23.94
0-4,Suva,upper,0.9,0.67,42,37.8
0-4,Suva,sec+,0.73,0.48,51,37.23
0-4,urban,none,1.17,1.06,12,14.04
0-4,urban,lower,0.85,1.59,27,22.95
0-4,urban,upper,1.05,0.73,39,40.95
0-4,urban,sec+,0.69,0.54,51,35.19
0-4,rural,none,0.97,0.88,62,60.14
0-4,rural,lower,0.96,0.81,102,97.92
0-4,rural,upper,0.97,0.8,107,103.79
0-4,rural,sec+,0.74,0.59,47,34.78
9-May,Suva,none,3.1,1.66,10,31
9-May,Suva,lower,2.67,0.99,30,80.1
9-May,Suva,upper,2.04,1.87,24,48.96
9-May,Suva,sec+,1.73,0.68,22,38.06
9-May,urban,none,4.54,3.44,13,59.02
9-May,urban,lower,2.65,1.51,37,98.05
9-May,urban,upper,2.68,0.97,44,117.92
9-May,urban,sec+,2.29,0.81,21,48.09
9-May,rural,none,2.44,1.93,70,170.8
9-May,rural,lower,2.71,1.36,117,317.07
9-May,rural,upper,2.47,1.3,81,200.07
9-May,rural,sec+,2.24,1.19,21,47.04
14-Oct,Suva,none,4.08,1.72,12,48.96
14-Oct,Suva,lower,3.67,2.31,27,99.09
14-Oct,Suva,upper,2.9,1.57,20,58
14-Oct,Suva,sec+,2,1.82,12,24
14-Oct,urban,none,4.17,2.97,18,75.06
14-Oct,urban,lower,3.33,2.99,43,143.19
14-Oct,urban,upper,3.62,1.96,29,104.98
14-Oct,urban,sec+,3.33,1.52,15,49.95
14-Oct,rural,none,4.14,3.52,88,364.32
14-Oct,rural,lower,4.14,3.31,132,546.48
14-Oct,rural,upper,3.94,3.28,50,197
14-Oct,rural,sec+,3.33,2.5,9,29.97
15-19,Suva,none,4.21,2.03,14,58.94
15-19,Suva,lower,4.94,1.46,31,153.14
15-19,Suva,upper,3.15,0.81,13,40.95
15-19,Suva,sec+,2.75,0.92,4,11
15-19,urban,none,4.7,7.4,23,108.1
15-19,urban,lower,5.36,2.97,42,225.12
15-19,urban,upper,4.6,3.83,20,92
15-19,urban,sec+,3.8,0.7,5,19
15-19,rural,none,5.06,4.91,114,576.84
15-19,rural,lower,5.59,3.23,86,480.74
15-19,rural,upper,4.5,3.29,30,135
15-19,rural,sec+,2,0,1,2
20-24,Suva,none,5.62,4.15,21,118.02
20-24,Suva,lower,5.06,4.64,18,91.08
20-24,Suva,upper,3.92,4.08,12,47.04
20-24,Suva,sec+,2.6,4.3,5,13
20-24,urban,none,5.36,7.19,22,117.92
20-24,urban,lower,5.88,4.44,25,147
20-24,urban,upper,5,4.33,13,65
20-24,urban,sec+,5.33,0.33,3,15.99
20-24,rural,none,6.46,8.2,117,755.82
20-24,rural,lower,6.34,5.72,68,431.12
20-24,rural,upper,5.74,5.2,23,132.02
20-24,rural,sec+,2.5,0.5,2,5
25-29,Suva,none,6.6,12.4,47,310.2
25-29,Suva,lower,6.74,11.66,27,181.98
25-29,Suva,upper,5.38,4.27,8,43.04
25-29,Suva,sec+,2,0,1,2
25-29,urban,none,6.52,11.45,46,299.92
25-29,urban,lower,7.51,10.53,45,337.95
25-29,urban,upper,7.54,12.6,13,98.02
25-29,rural,none,7.48,11.34,195,1458.6
25-29,rural,lower,7.81,7.57,59,460.79
25-29,rural,upper,5.8,7.07,10,58
