Country,Year,Cons_per_capita,Nobel_Laureates,Population_2017,Laureates_per_10_million
Australia,2004,4.8,11,24450561,4.499
Australia,2006,5.72,11,24450561,4.499
Australia,2007,5.81,11,24450561,4.499
Australia,2008,5.96,11,24450561,4.499
Australia,2009,4.17,11,24450561,4.499
Australia,2012,5.9,11,24450561,4.499
Austria,2004,8.5,18,8735453,20.606
Austria,2006,8.19,18,8735453,20.606
Austria,2007,8.22,18,8735453,20.606
Austria,2008,7.9,18,8735453,20.606
Austria,2009,7.71,18,8735453,20.606
Austria,2010,8.16,18,8735453,20.606
Austria,2011,8.65,18,8735453,20.606
Austria,2012,8.8,18,8735453,20.606
Belgium,2004,9.1,6,11429336,5.25
Belgium,2006,8.6,6,11429336,5.25
Belgium,2007,9.05,6,11429336,5.25
Belgium,2008,6.8,6,11429336,5.25
Belgium,2009,5,6,11429336,5.25
Belgium,2010,4.81,6,11429336,5.25
Belgium,2011,5.73,6,11429336,5.25
Belgium,2012,8.3,6,11429336,5.25
Brazil,2006,2.16,1,209288278,0.048
Brazil,2007,2.47,1,209288278,0.048
Brazil,2008,2.57,1,209288278,0.048
Brazil,2009,2.58,1,209288278,0.048
Brazil,2010,3.27,1,209288278,0.048
Brazil,2011,3.53,1,209288278,0.048
Brazil,2012,2.5,1,209288278,0.048
Canada,2004,3.9,20,36624199,5.461
Canada,2012,6.4,20,36624199,5.461
China,2004,0.7,5,1409517397,0.035
China,2012,1.2,5,1409517397,0.035
Czech Republic,2006,2.66,3,10618303,2.825
Czech Republic,2007,2.37,3,10618303,2.825
Czech Republic,2008,2.17,3,10618303,2.825
Czech Republic,2009,2.08,3,10618303,2.825
Czech Republic,2010,2.04,3,10618303,2.825
Czech Republic,2011,2.51,3,10618303,2.825
Czech Republic,2012,4.9,3,10618303,2.825
Denmark,2004,7.9,9,5773551,15.588
Denmark,2006,7.65,9,5773551,15.588
Denmark,2007,8.07,9,5773551,15.588
Denmark,2008,8.57,9,5773551,15.588
Denmark,2009,7.43,9,5773551,15.588
Denmark,2010,8.49,9,5773551,15.588
Denmark,2011,8.18,9,5773551,15.588
Denmark,2012,7.5,9,5773551,15.588
Finland,2004,6.2,3,5523231,5.432
Finland,2006,6.92,3,5523231,5.432
Finland,2007,7.56,3,5523231,5.432
Finland,2008,6.97,3,5523231,5.432
Finland,2009,6.87,3,5523231,5.432
Finland,2010,7.26,3,5523231,5.432
Finland,2011,6.81,3,5523231,5.432
Finland,2012,5,3,5523231,5.432
France,2004,4.9,37,64979548,5.694
France,2006,6.5,37,64979548,5.694
France,2007,7,37,64979548,5.694
France,2008,7.02,37,64979548,5.694
France,2009,6.41,37,64979548,5.694
France,2010,6.34,37,64979548,5.694
France,2011,6.64,37,64979548,5.694
France,2012,6.3,37,64979548,5.694
Germany,2004,9.1,91,82114524,11.082
Germany,2006,11.16,91,82114524,11.082
Germany,2007,11.42,91,82114524,11.082
Germany,2008,11.38,91,82114524,11.082
Germany,2009,11.34,91,82114524,11.082
Germany,2010,11.56,91,82114524,11.082
Germany,2011,11.6,91,82114524,11.082
Germany,2012,8.2,91,82114524,11.082
Hungary,2006,3.11,8,9721559,8.229
Hungary,2007,3.72,8,9721559,8.229
Hungary,2008,3.47,8,9721559,8.229
Hungary,2009,3.58,8,9721559,8.229
Hungary,2010,3.6,8,9721559,8.229
Hungary,2011,3.3,8,9721559,8.229
India,2012,0.7,6,1339180127,0.045
Ireland,2004,8.8,2,4671567,4.281
Ireland,2006,7.64,2,4671567,4.281
Ireland,2007,12.38,2,4671567,4.281
Ireland,2008,3.09,2,4671567,4.281
Ireland,2009,2.82,2,4671567,4.281
Ireland,2010,2.75,2,4671567,4.281
Ireland,2011,2.55,2,4671567,4.281
Ireland,2012,9.9,2,4671567,4.281
Italy,2004,3.5,13,59359900,2.19
Italy,2006,3.87,13,59359900,2.19
Italy,2007,3.37,13,59359900,2.19
Italy,2008,3.38,13,59359900,2.19
Italy,2009,3.49,13,59359900,2.19
Italy,2010,3.77,13,59359900,2.19
Italy,2011,4.06,13,59359900,2.19
Japan,2004,1.8,22,127484450,1.758
Japan,2006,2.23,22,127484450,1.758
