idno,psu,dweight,stratval,gvjbevn,gvhlthc,gvslvol,gvslvue,gvcldcr,gvpdlwk,sbprvpv,sbeqsoc,sbcwkfm
110701,107,0.5153," Postal areas KA, DG, TD (Ayrshire, Dumfries & Galloway, Borders)",0,10,8,5,5,4,2,4,2
110702,107,0.5153," Postal areas KA, DG, TD (Ayrshire, Dumfries & Galloway, Borders)",5,10,10,10,5,10,4,4,4
110703,107,0.5153," Postal areas KA, DG, TD (Ayrshire, Dumfries & Galloway, Borders)",8,9,10,0,8,10,4,4,3
110704,107,1.0307," Postal areas KA, DG, TD (Ayrshire, Dumfries & Galloway, Borders)",8,10,10,3,8,6,3,2,2
110705,107,1.0307," Postal areas KA, DG, TD (Ayrshire, Dumfries & Galloway, Borders)",7,10,8,8,9,8,4,2,2
110708,107,0.5153," Postal areas KA, DG, TD (Ayrshire, Dumfries & Galloway, Borders)",0,10,10,5,7,7,2,2,2
110710,107,0.5153," Postal areas KA, DG, TD (Ayrshire, Dumfries & Galloway, Borders)",5,8,8,8,3,5,4,3,4
110711,107,0.5153," Postal areas KA, DG, TD (Ayrshire, Dumfries & Galloway, Borders)",6,8,8,4,5,7,3,3,2
110712,107,0.5153," Postal areas KA, DG, TD (Ayrshire, Dumfries & Galloway, Borders)",1,10,7,5,3,9,2,3,2
110713,107,1.0307," Postal areas KA, DG, TD (Ayrshire, Dumfries & Galloway, Borders)",7,9,9,7,8,7,2,3,3
110714,107,1.0307," Postal areas KA, DG, TD (Ayrshire, Dumfries & Galloway, Borders)",5,10,10,5,5,10,2,4,3
110715,107,1.0307," Postal areas KA, DG, TD (Ayrshire, Dumfries & Galloway, Borders)",5,8,8,6,5,7,2,2,2
110716,107,0.5153," Postal areas KA, DG, TD (Ayrshire, Dumfries & Galloway, Borders)",6,10,10,10,10,10,NA,NA,2
110718,107,1.0307," Postal areas KA, DG, TD (Ayrshire, Dumfries & Galloway, Borders)",8,9,9,8,6,6,3,4,2
110719,107,0.5153," Postal areas KA, DG, TD (Ayrshire, Dumfries & Galloway, Borders)",7,10,10,6,8,8,2,2,2
110720,107,1.0307," Postal areas KA, DG, TD (Ayrshire, Dumfries & Galloway, Borders)",4,10,10,6,5,5,5,4,2
112105,121,0.5153, Devon and Cornwall,6,9,6,5,7,4,3,4,2
112108,121,1.0307, Devon and Cornwall,10,10,10,10,10,10,4,4,3
112111,121,0.5153, Devon and Cornwall,5,9,7,7,8,8,2,2,2
112113,121,0.5153, Devon and Cornwall,8,8,8,4,8,8,2,2,2
112116,121,1.0307, Devon and Cornwall,3,7,10,5,2,6,1,4,2
112119,121,0.5153, Devon and Cornwall,5,8,8,6,5,8,3,3,2
112120,121,1.0307, Devon and Cornwall,6,10,10,6,2,7,2,4,3
112201,122,1.0307, Devon and Cornwall,6,8,8,6,6,7,2,3,2
112202,122,1.0307, Devon and Cornwall,3,10,10,3,3,5,3,5,2
112204,122,1.0307, Devon and Cornwall,2,8,6,2,2,8,3,3,3
112206,122,1.0307, Devon and Cornwall,5,5,10,2,6,6,2,4,4
112207,122,1.0307, Devon and Cornwall,3,8,8,7,4,4,4,4,2
112208,122,1.0307, Devon and Cornwall,7,9,9,8,8,7,2,4,2
112209,122,2.5767, Devon and Cornwall,7,8,7,7,6,3,2,2,2
112214,122,0.5153, Devon and Cornwall,3,10,9,5,7,8,2,2,2
112216,122,1.546, Devon and Cornwall,5,8,8,5,5,5,3,2,2
112218,122,1.0307, Devon and Cornwall,10,10,8,3,0,5,2,5,2
112219,122,1.0307, Devon and Cornwall,3,10,8,3,3,4,4,2,4
112301,123,1.0307, Devon and Cornwall,5,10,10,3,5,0,2,4,3
112304,123,1.0307, Devon and Cornwall,8,10,10,5,10,7,4,4,2
112305,123,1.0307, Devon and Cornwall,2,9,9,6,4,10,4,5,2
112306,123,1.546, Devon and Cornwall,7,8,8,6,2,7,2,3,2
112307,123,0.5153, Devon and Cornwall,7,9,9,9,9,9,2,2,2
112310,123,0.5153, Devon and Cornwall,10,10,10,10,10,9,3,4,4
112312,123,1.0307, Devon and Cornwall,6,10,10,4,NA,10,NA,NA,3
112315,123,0.5153, Devon and Cornwall,3,10,8,4,4,3,3,4,3
112318,123,1.0307, Devon and Cornwall,7,10,10,10,10,8,2,3,3
112319,123,0.5153, Devon and Cornwall,5,8,8,5,5,5,3,3,3
112320,123,1.0307, Devon and Cornwall,7,8,8,6,7,7,4,2,2
112401,124,1.0307, Devon and Cornwall,8,10,8,4,8,7,4,3,1
112402,124,0.5153, Devon and Cornwall,8,9,9,6,8,10,2,2,2
112403,124,1.0307, Devon and Cornwall,7,10,7,5,7,8,3,2,2
112404,124,1.0307, Devon and Cornwall,5,6,6,6,6,7,3,3,2
112405,124,0.5153, Devon and Cornwall,10,10,10,10,10,10,3,3,3
112407,124,1.0307, Devon and Cornwall,7,8,10,4,9,7,2,2,2
112408,124,1.0307, Devon and Cornwall,9,8,8,9,9,9,2,4,2
112409,124,1.0307, Devon and Cornwall,10,10,7,0,10,8,2,4,3
112410,124,1.546, Devon and Cornwall,9,10,10,8,8,8,4,2,2
112411,124,1.0307, Devon and Cornwall,8,9,9,5,5,8,3,3,2
112414,124,1.0307, Devon and Cornwall,8,8,8,5,9,8,2,3,1
112416,124,0.5153, Devon and Cornwall,7,9,8,7,8,9,3,4,2
112419,124,0.5153, Devon and Cornwall,6,8,9,3,7,7,3,3,2
112420,124,0.5153, Devon and Cornwall,3,9,8,4,6,8,2,4,2
112501,125,1.546, Devon and Cornwall,6,10,10,6,8,8,4,3,3
112502,125,1.0307, Devon and Cornwall,3,8,6,5,3,3,4,4,3
112503,125,0.5153, Devon and Cornwall,5,8,8,8,7,8,2,2,2
112504,125,0.5153, Devon and Cornwall,3,6,8,8,7,NA,4,2,2
112505,125,1.0307, Devon and Cornwall,8,8,9,7,4,10,2,3,2
112506,125,1.0307, Devon and Cornwall,7,9,9,3,3,6,3,4,2
112510,125,1.0307, Devon and Cornwall,10,10,10,4,10,7,4,5,2
112511,125,1.0307, Devon and Cornwall,8,7,8,7,NA,6,2,NA,2
112513,125,0.5153, Devon and Cornwall,5,8,9,5,4,2,2,2,1
112514,125,1.546, Devon and Cornwall,4,10,9,6,6,9,2,4,2
112517,125,1.546, Devon and Cornwall,8,10,10,10,6,4,2,3,2
112518,125,1.0307, Devon and Cornwall,8,9,10,7,10,9,3,3,3
112520,125,0.5153, Devon and Cornwall,2,8,9,2,2,NA,4,3,3
112602,126,1.0307, Devon and Cornwall,7,9,8,7,7,8,3,3,2
112603,126,1.0307, Devon and Cornwall,10,10,10,10,10,10,2,2,2
112606,126,1.0307, Devon and Cornwall,10,10,10,7,7,10,4,5,2
112610,126,1.0307, Devon and Cornwall,6,8,9,4,6,5,2,3,3
112611,126,1.0307, Devon and Cornwall,6,8,7,7,8,7,2,2,2
112612,126,1.0307, Devon and Cornwall,10,7,10,10,2,6,4,4,2
112613,126,1.0307, Devon and Cornwall,10,10,10,6,10,9,3,4,3
112614,126,1.0307, Devon and Cornwall,7,10,10,7,8,8,2,2,2
112617,126,0.5153, Devon and Cornwall,5,10,10,10,10,10,3,3,3
112619,126,0.5153, Devon and Cornwall,5,10,10,10,10,10,3,4,3
112620,126,1.0307, Devon and Cornwall,5,10,8,7,5,5,4,4,2
112702,127,1.546, Devon and Cornwall,4,10,5,0,8,0,2,2,2
112704,127,1.0307, Devon and Cornwall,10,10,10,5,8,8,3,3,2
112706,127,1.0307, Devon and Cornwall,4,8,8,6,7,3,2,3,3
112707,127,1.0307, Devon and Cornwall,0,10,10,2,6,5,4,4,2
112713,127,1.0307, Devon and Cornwall,8,10,8,7,10,7,1,4,3
112714,127,1.0307, Devon and Cornwall,4,8,10,0,6,10,2,3,2
112715,127,0.5153, Devon and Cornwall,4,9,10,5,7,10,4,3,3
112716,127,1.0307, Devon and Cornwall,0,8,10,5,1,0,1,3,1
112717,127,1.0307, Devon and Cornwall,8,10,10,5,8,8,2,2,2
112720,127,0.5153, Devon and Cornwall,3,7,8,4,6,6,3,2,2
112802,128,1.0307, Somerset and Dorset,9,9,9,8,7,5,2,3,3
112803,128,1.0307, Somerset and Dorset,7,10,10,5,8,10,4,2,4
112804,128,1.0307, Somerset and Dorset,8,10,10,7,5,7,3,4,3
112807,128,1.0307, Somerset and Dorset,10,10,10,8,7,9,3,2,2
112810,128,2.0613, Somerset and Dorset,8,8,8,2,2,8,4,4,2
112812,128,0.5153, Somerset and Dorset,3,10,10,10,7,10,2,2,2
112813,128,1.546, Somerset and Dorset,8,9,9,5,7,7,3,4,2
112814,128,1.0307, Somerset and Dorset,10,10,10,10,10,10,2,4,3
112815,128,1.546, Somerset and Dorset,9,10,10,7,8,10,3,4,4
112816,128,1.0307, Somerset and Dorset,8,9,9,5,9,8,3,4,3
112817,128,1.0307, Somerset and Dorset,5,8,8,5,5,7,2,3,3
112819,128,0.5153, Somerset and Dorset,8,8,8,7,8,8,3,4,3
112902,129,0.5153, Somerset and Dorset,5,6,6,7,7,4,3,2,2
112905,129,1.0307, Somerset and Dorset,8,9,7,5,4,7,3,4,2
112906,129,1.0307, Somerset and Dorset,10,10,10,8,8,7,2,2,2
112907,129,1.0307, Somerset and Dorset,0,8,8,5,7,4,4,4,3
112912,129,0.5153, Somerset and Dorset,5,10,9,5,6,5,3,3,3
112913,129,1.0307, Somerset and Dorset,8,9,10,7,5,10,3,2,2
112915,129,0.5153, Somerset and Dorset,7,9,9,9,9,9,2,2,3
112916,129,1.0307, Somerset and Dorset,8,10,10,7,7,6,3,3,3
112918,129,1.0307, Somerset and Dorset,10,10,10,7,7,8,3,2,3
112919,129,0.5153, Somerset and Dorset,3,9,9,6,8,9,2,2,2
112920,129,1.0307, Somerset and Dorset,10,10,10,10,10,10,4,4,4
113002,130,1.0307, Somerset and Dorset,6,8,9,4,4,7,4,4,3
113003,130,0.5153, Somerset and Dorset,8,8,8,8,8,8,2,2,2
113004,130,1.0307, Somerset and Dorset,7,10,10,8,8,8,2,2,3
113007,130,1.546, Somerset and Dorset,3,8,8,6,6,4,3,4,2
113009,130,1.0307, Somerset and Dorset,2,7,7,5,7,5,4,4,4
113011,130,1.0307, Somerset and Dorset,7,10,10,8,8,10,4,4,3
113012,130,0.5153, Somerset and Dorset,4,8,8,5,5,6,2,2,3
113013,130,1.0307, Somerset and Dorset,10,10,10,5,10,10,3,3,3
113014,130,1.0307, Somerset and Dorset,5,10,8,6,8,8,2,2,2
113016,130,0.5153, Somerset and Dorset,10,10,10,5,5,7,4,4,2
113018,130,0.5153, Somerset and Dorset,2,7,5,2,7,4,4,4,4
113020,130,0.5153, Somerset and Dorset,5,8,10,5,5,6,2,2,2
113102,131,1.0307, Somerset and Dorset,8,7,10,8,7,8,1,1,2
113104,131,1.0307, Somerset and Dorset,7,7,7,7,7,7,2,2,2
113107,131,1.0307, Somerset and Dorset,7,10,8,5,8,8,2,4,3
113110,131,0.5153, Somerset and Dorset,4,8,8,4,4,7,2,2,2
113113,131,0.5153, Somerset and Dorset,4,9,8,2,5,4,2,2,2
113114,131,0.5153, Somerset and Dorset,10,10,10,10,5,7,3,3,3
113115,131,1.0307, Somerset and Dorset,7,10,8,7,7,9,4,4,2
113117,131,1.0307, Somerset and Dorset,5,7,7,4,3,6,3,3,2
113201,132,1.0307, Somerset and Dorset,2,9,9,9,7,9,1,4,2
113206,132,1.546, Somerset and Dorset,5,10,8,5,2,5,3,4,3
113208,132,2.0613, Somerset and Dorset,3,8,7,7,3,6,2,4,4
113211,132,0.5153, Somerset and Dorset,7,10,8,7,7,8,2,2,2
113212,132,1.0307, Somerset and Dorset,2,9,10,6,6,6,2,4,3
113215,132,1.546, Somerset and Dorset,8,10,10,7,9,10,2,3,2
113301,133,1.546, Avon and Wiltshire  ,8,9,8,2,7,8,4,2,3
113303,133,1.0307, Avon and Wiltshire  ,5,9,9,9,7,10,4,4,4
113305,133,1.0307, Avon and Wiltshire  ,8,10,10,4,7,5,2,4,1
113308,133,1.546, Avon and Wiltshire  ,9,10,10,8,9,10,1,2,4
113310,133,1.0307, Avon and Wiltshire  ,1,9,6,5,5,7,2,3,2
113311,133,1.0307, Avon and Wiltshire  ,7,7,8,4,9,8,4,2,2
113312,133,1.546, Avon and Wiltshire  ,4,10,10,2,2,1,3,4,2
113313,133,0.5153, Avon and Wiltshire  ,5,10,6,4,2,0,3,3,3
113314,133,1.0307, Avon and Wiltshire  ,8,9,9,6,5,8,3,4,3
113315,133,1.0307, Avon and Wiltshire  ,4,8,8,5,7,9,2,2,3
113316,133,0.5153, Avon and Wiltshire  ,6,8,8,6,7,6,2,2,2
113318,133,2.0613, Avon and Wiltshire  ,5,6,6,5,6,6,2,4,2
113319,133,1.0307, Avon and Wiltshire  ,7,10,10,7,9,6,3,2,2
113403,134,1.0307, Avon and Wiltshire  ,5,7,7,5,5,5,3,2,3
113404,134,1.0307, Avon and Wiltshire  ,7,9,9,8,6,8,3,2,3
113406,134,0.5153, Avon and Wiltshire  ,5,8,8,3,3,5,2,2,2
113408,134,0.5153, Avon and Wiltshire  ,0,8,5,5,5,3,3,2,2
113409,134,1.0307, Avon and Wiltshire  ,4,8,7,5,6,7,4,4,4
113411,134,0.5153, Avon and Wiltshire  ,1,3,7,0,8,8,5,5,2
113412,134,1.0307, Avon and Wiltshire  ,6,9,7,5,6,7,2,2,2
113413,134,0.5153, Avon and Wiltshire  ,3,7,6,6,6,6,2,2,2
113414,134,1.0307, Avon and Wiltshire  ,4,7,7,6,6,6,2,2,2
113415,134,1.0307, Avon and Wiltshire  ,8,9,9,8,9,9,2,2,2
113416,134,1.0307, Avon and Wiltshire  ,6,8,7,4,7,7,3,4,2
113417,134,0.5153, Avon and Wiltshire  ,5,8,8,7,6,8,3,3,2
113418,134,1.0307, Avon and Wiltshire  ,6,10,10,7,7,5,3,3,3
113419,134,1.0307, Avon and Wiltshire  ,6,6,7,6,5,6,2,2,3
113501,135,0.5153, Avon and Wiltshire  ,5,9,9,4,4,8,2,3,3
