fecha,cve_edo,cve_clues,nombre,calificacion,pac_act
20161125,1,ASSSA000491,CSR PRESA DE LOS SERNA,83.36,19
20161125,1,ASSSA000713,CSR LA CONGOJA,81.88,14
20161125,1,ASSSA000474,CSR MALPASO,75.73,28
20161125,1,ASSSA001075,CRV 2 ECONOMICO 241,75.71,25
20161125,1,ASSSA001174,CRV 3 ECONOMICO 260,74.85,7
20161125,1,ASSSA000853,CSR EL BARRANCO,74.82,57
20161125,1,ASSSA000520,CSR TERRERO DE LA LABOR,73.22,20
20161125,1,ASSSA001244,CSR OJOCALIENTE,72.97,106
20161125,1,ASSSA000795,CSR S ANTONIO TEPEZALÁ,72.91,31
20161125,1,ASSSA000766,CSR TEPEZALÁ,71.36,57
20161125,1,ASSSA000515,CSR EL TEMAZCAL,71.09,12
20161125,1,ASSSA000223,CSR LOS CUERVOS,71.02,38
20161125,1,ASSSA000590,CSR TAPIAS VIEJAS,70.33,30
20161125,1,ASSSA000194,CSR LOS ARELLANO,70.11,42
20161125,1,ASSSA000252,CSR SALTO DE LOS SALADO,70.01,56
20161125,1,ASSSA000742,CSR S ANTONIO DE LOS RIOS,69.56,30
20161125,1,ASSSA000141,CSR S MARCOS,68.8,144
20161125,1,ASSSA000211,CSR EL COLORADO,68.69,32
20161125,1,ASSSA000351,CSR FCO VILLA,68.67,28
20161125,1,ASSSA000276,CSR STA MA DE GALLARDO,68.12,39
20161125,1,ASSSA000836,CSR STA ROSA,67.4,40
20161125,1,ASSSA001274,ASSSA001274,67.4,59
20161125,1,ASSSA000392,CSR VILLA JUÁREZ,67.37,184
20161125,1,ASSSA000672,CSR LA BOQUILLA,67.3,18
20161125,1,ASSSA000346,CSR LAS FRAGUAS,66.84,12
20161125,1,ASSSA000235,CSR JOSÉ MA MORELOS,66.66,23
20161125,1,ASSSA000450,CSR JALTICHE DE ARRIBA,66.52,25
20161125,1,ASSSA000573,CSR GRACIAS A DIOS,66.38,13
20161125,1,ASSSA000445,CSR EL CUERVERO,65.96,47
20161125,1,ASSSA001186,CSR GUADALUPE PERALTA,65.61,163
20161125,1,ASSSA000783,CSR MESILLAS,65.38,51
20161125,1,ASSSA001191,CSR CARBONERAS,65.18,31
20161125,1,ASSSA000585,CSR JESÚS GÓMEZ PORTUGAL,65.14,47
20161125,1,ASSSA001283,ASSSA001283,64.9,56
20161125,1,ASSSA000421,CSR CALVILLO,64.77,182
20161125,1,ASSSA000696,CSR S JACINTO,64.57,37
20161125,1,ASSSA000684,CSR PABELLÓN DE HIDALGO,64.38,37
20161125,1,ASSSA000322,CSR COL EMANCIPACIÓN,64.24,26
20161125,1,ASSSA000812,CSR LOS CONOS,64.19,42
20161125,1,ASSSA000375,CSR PILOTOS,64.06,77
20161125,1,ASSSA001080,CRV 2 ECONOMICO 240,63.76,6
20161125,1,ASSSA000100,CSR GÓMEZ PORTUGAL,63.68,82
20161125,1,ASSSA000561,CSR IGNACIO ZARAGOZA,63.37,24
20161125,1,ASSSA000095,CSR CONSTITUCIÓN,63.29,149
20161125,1,ASSSA000240,CSR PEÑUELAS,63.25,38
20161125,1,ASSSA000165,CSR MORELOS,63.12,106
20161125,1,ASSSA000532,CSR COSÍO,63.04,195
20161125,1,ASSSA000124,CSR JOSÉ LÓPEZ PORTILLO,62.66,150
20161125,1,ASSSA000841,CSR LA UNIÓN,62.33,17
20161125,1,ASSSA000310,CSR ADOLFO LÓPEZ MATEOS,62.11,30
20161125,1,ASSSA000071,CSR GREMIAL,62.09,121
20161125,1,ASSSA000066,CSR NORIAS DE OJOCALIENTE,61.77,69
20161125,1,ASSSA000170,CSR ARBOLEDAS,61.67,377
20161125,1,ASSSA000380,CSR EL POLVO,61.6,59
20161125,1,ASSSA000643,CSR EMILIANO ZAPATA,61.59,60
20161125,1,ASSSA000136,CSR LA SALUD,61.55,177
20161125,1,ASSSA000112,CSR INSURGENTES,61.41,154
