id_station,o3
TLA,9
UIZ,NA
TLA,9
UIZ,NA
TLA,6
UIZ,4
TLA,2
UIZ,4
TLA,1
UIZ,4
TLA,2
UIZ,3
TLA,2
UIZ,2
TLA,2
UIZ,3
TLA,3
UIZ,5
TLA,7
UIZ,12
TLA,22
UIZ,27
TLA,41
UIZ,49
TLA,57
UIZ,75
TLA,59
UIZ,81
TLA,65
UIZ,72
TLA,64
UIZ,58
TLA,60
UIZ,51
TLA,36
UIZ,43
TLA,20
UIZ,34
TLA,19
UIZ,29
TLA,15
UIZ,14
TLA,15
UIZ,5
TLA,8
UIZ,4
TLA,3
UIZ,3
TLA,2
UIZ,3
TLA,1
UIZ,3
TLA,4
UIZ,6
TLA,4
UIZ,6
TLA,3
UIZ,4
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,3
UIZ,4
TLA,6
UIZ,10
TLA,7
UIZ,20
TLA,25
UIZ,35
TLA,38
UIZ,40
TLA,43
UIZ,53
TLA,25
UIZ,52
TLA,14
UIZ,38
TLA,14
UIZ,24
TLA,8
UIZ,12
TLA,8
UIZ,7
TLA,9
UIZ,6
TLA,9
UIZ,9
TLA,8
UIZ,11
TLA,7
UIZ,12
TLA,7
UIZ,14
TLA,12
UIZ,15
TLA,13
UIZ,16
TLA,15
UIZ,17
TLA,18
UIZ,15
TLA,18
UIZ,16
TLA,NA
UIZ,12
TLA,11
UIZ,4
TLA,6
UIZ,3
TLA,4
UIZ,6
TLA,8
UIZ,11
TLA,14
UIZ,19
TLA,21
UIZ,31
TLA,30
UIZ,44
TLA,37
UIZ,56
TLA,38
UIZ,74
TLA,36
UIZ,63
TLA,29
UIZ,38
TLA,15
UIZ,52
TLA,3
UIZ,19
TLA,1
UIZ,2
TLA,2
UIZ,6
TLA,1
UIZ,5
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,2
UIZ,2
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,3
UIZ,7
TLA,13
UIZ,13
TLA,24
UIZ,30
TLA,33
UIZ,51
TLA,44
UIZ,68
TLA,55
UIZ,81
TLA,61
UIZ,94
TLA,68
UIZ,99
TLA,61
UIZ,92
TLA,37
UIZ,75
TLA,17
UIZ,51
TLA,5
UIZ,23
TLA,1
UIZ,6
TLA,1
UIZ,4
TLA,1
UIZ,3
TLA,1
UIZ,3
TLA,2
UIZ,2
TLA,2
UIZ,2
TLA,1
UIZ,2
TLA,1
UIZ,3
TLA,2
UIZ,4
TLA,1
UIZ,3
TLA,1
UIZ,3
TLA,1
UIZ,3
TLA,3
UIZ,5
TLA,10
UIZ,17
TLA,23
UIZ,36
TLA,51
UIZ,61
TLA,68
UIZ,84
TLA,78
UIZ,90
TLA,87
UIZ,86
TLA,98
UIZ,83
TLA,83
UIZ,73
TLA,51
UIZ,66
TLA,31
UIZ,53
TLA,6
UIZ,37
TLA,13
UIZ,21
TLA,16
UIZ,NA
TLA,2
UIZ,NA
TLA,NA
UIZ,NA
TLA,NA
UIZ,NA
TLA,NA
UIZ,NA
TLA,NA
UIZ,NA
TLA,NA
UIZ,18
TLA,NA
UIZ,13
TLA,2
UIZ,6
TLA,1
UIZ,2
TLA,2
UIZ,3
TLA,4
UIZ,7
TLA,12
UIZ,14
TLA,18
UIZ,25
TLA,30
UIZ,46
TLA,42
UIZ,64
TLA,60
UIZ,72
TLA,70
UIZ,NA
TLA,58
UIZ,NA
TLA,53
UIZ,56
TLA,32
UIZ,47
TLA,7
UIZ,40
TLA,7
UIZ,10
TLA,NA
UIZ,3
TLA,4
UIZ,4
TLA,5
UIZ,3
TLA,4
UIZ,2
TLA,11
UIZ,2
TLA,8
UIZ,5
TLA,12
UIZ,13
TLA,10
UIZ,14
TLA,4
UIZ,8
TLA,1
UIZ,4
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,NA
UIZ,6
TLA,6
UIZ,12
TLA,14
UIZ,21
TLA,NA
UIZ,33
TLA,28
UIZ,37
TLA,29
UIZ,44
TLA,30
UIZ,56
TLA,36
UIZ,62
TLA,34
UIZ,60
TLA,23
UIZ,50
TLA,6
UIZ,27
TLA,2
UIZ,28
TLA,2
UIZ,15
TLA,2
UIZ,6
TLA,NA
UIZ,3
TLA,1
UIZ,4
TLA,1
UIZ,4
TLA,NA
UIZ,4
TLA,1
UIZ,3
TLA,1
UIZ,3
TLA,1
UIZ,2
TLA,1
UIZ,3
TLA,1
UIZ,2
TLA,1
UIZ,3
TLA,2
UIZ,4
TLA,5
UIZ,10
TLA,18
UIZ,22
TLA,44
UIZ,43
TLA,55
UIZ,68
TLA,65
UIZ,87
TLA,70
UIZ,96
TLA,71
UIZ,80
TLA,52
UIZ,67
TLA,37
UIZ,45
TLA,20
UIZ,17
TLA,2
UIZ,17
TLA,NA
UIZ,19
TLA,1
UIZ,6
TLA,3
UIZ,3
TLA,5
UIZ,2
TLA,1
UIZ,2
TLA,6
UIZ,2
TLA,6
UIZ,5
TLA,2
UIZ,3
TLA,4
UIZ,3
TLA,1
UIZ,2
TLA,1
UIZ,3
TLA,1
UIZ,3
TLA,3
UIZ,4
TLA,11
UIZ,10
TLA,23
UIZ,27
TLA,35
UIZ,NA
TLA,51
UIZ,56
TLA,54
UIZ,62
TLA,61
UIZ,68
TLA,45
UIZ,54
TLA,32
UIZ,45
TLA,19
UIZ,46
TLA,8
UIZ,39
TLA,10
UIZ,36
TLA,10
UIZ,19
TLA,4
UIZ,3
TLA,1
UIZ,6
TLA,1
UIZ,6
TLA,1
UIZ,8
TLA,1
UIZ,5
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,NA
UIZ,2
TLA,1
UIZ,3
TLA,2
UIZ,4
TLA,8
UIZ,14
TLA,19
UIZ,31
TLA,33
UIZ,42
TLA,37
UIZ,39
TLA,30
UIZ,34
TLA,24
UIZ,38
TLA,26
UIZ,41
TLA,27
UIZ,47
TLA,20
UIZ,47
TLA,16
UIZ,38
TLA,5
UIZ,24
TLA,2
UIZ,16
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,1
UIZ,1
TLA,1
UIZ,2
TLA,1
UIZ,1
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,1
UIZ,1
TLA,1
UIZ,2
TLA,NA
UIZ,2
TLA,1
UIZ,2
TLA,2
UIZ,4
TLA,6
UIZ,10
TLA,14
UIZ,24
TLA,28
UIZ,40
TLA,36
UIZ,50
TLA,43
UIZ,58
TLA,45
UIZ,62
TLA,45
UIZ,52
TLA,31
UIZ,39
TLA,27
UIZ,NA
TLA,12
UIZ,NA
TLA,13
UIZ,17
TLA,18
UIZ,13
TLA,13
UIZ,6
TLA,11
UIZ,9
TLA,16
UIZ,9
TLA,16
UIZ,NA
TLA,11
UIZ,NA
TLA,3
UIZ,NA
TLA,1
UIZ,3
TLA,3
UIZ,1
TLA,2
UIZ,2
TLA,2
UIZ,2
TLA,1
UIZ,2
TLA,5
UIZ,7
TLA,16
UIZ,20
TLA,29
UIZ,39
TLA,41
UIZ,55
TLA,58
UIZ,59
TLA,68
UIZ,44
TLA,52
UIZ,42
TLA,41
UIZ,42
TLA,40
UIZ,38
TLA,37
UIZ,34
TLA,29
UIZ,37
TLA,16
UIZ,17
TLA,7
UIZ,11
TLA,1
UIZ,10
TLA,1
UIZ,9
TLA,NA
UIZ,4
TLA,NA
UIZ,4
TLA,NA
UIZ,8
TLA,NA
UIZ,12
TLA,NA
UIZ,7
TLA,NA
UIZ,1
TLA,1
UIZ,1
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,3
UIZ,3
TLA,6
UIZ,12
TLA,17
UIZ,24
TLA,35
UIZ,42
TLA,52
UIZ,58
TLA,62
UIZ,67
TLA,67
UIZ,75
TLA,60
UIZ,75
TLA,43
UIZ,77
TLA,20
UIZ,61
TLA,NA
UIZ,29
TLA,6
UIZ,7
TLA,17
UIZ,10
TLA,15
UIZ,14
TLA,21
UIZ,14
TLA,16
UIZ,22
TLA,19
UIZ,29
TLA,19
UIZ,25
TLA,20
UIZ,21
TLA,25
UIZ,16
TLA,22
UIZ,11
TLA,14
UIZ,6
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,NA
UIZ,5
TLA,11
UIZ,15
TLA,18
UIZ,24
TLA,25
UIZ,39
TLA,40
UIZ,59
TLA,54
UIZ,76
TLA,63
UIZ,74
TLA,60
UIZ,55
TLA,46
UIZ,48
TLA,27
UIZ,38
TLA,25
UIZ,16
TLA,23
UIZ,12
TLA,14
UIZ,12
TLA,10
UIZ,11
TLA,NA
UIZ,5
TLA,NA
UIZ,2
TLA,NA
UIZ,4
TLA,7
UIZ,7
TLA,16
UIZ,7
TLA,16
UIZ,11
TLA,22
UIZ,15
TLA,13
UIZ,10
TLA,7
UIZ,6
TLA,7
UIZ,5
TLA,12
UIZ,13
TLA,27
UIZ,26
TLA,34
UIZ,39
TLA,38
UIZ,44
TLA,37
UIZ,44
TLA,38
UIZ,44
TLA,39
UIZ,46
TLA,42
UIZ,44
TLA,41
UIZ,46
TLA,30
UIZ,35
TLA,22
UIZ,21
TLA,9
UIZ,13
TLA,5
UIZ,9
TLA,5
UIZ,2
TLA,3
UIZ,3
TLA,2
UIZ,2
TLA,2
UIZ,2
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,1
UIZ,1
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,0
UIZ,2
TLA,1
UIZ,3
TLA,3
UIZ,3
TLA,5
UIZ,6
TLA,9
UIZ,NA
TLA,12
UIZ,NA
TLA,30
UIZ,NA
TLA,NA
UIZ,NA
TLA,NA
UIZ,58
TLA,NA
UIZ,54
TLA,NA
UIZ,48
TLA,33
UIZ,42
TLA,12
UIZ,18
TLA,5
UIZ,22
TLA,2
UIZ,15
TLA,1
UIZ,13
TLA,2
UIZ,6
TLA,5
UIZ,2
TLA,5
UIZ,5
TLA,10
UIZ,3
TLA,4
UIZ,2
TLA,5
UIZ,2
TLA,2
UIZ,2
TLA,2
UIZ,2
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,2
UIZ,4
TLA,8
UIZ,12
TLA,26
UIZ,28
TLA,42
UIZ,52
TLA,48
UIZ,58
TLA,47
UIZ,64
TLA,47
UIZ,68
TLA,47
UIZ,66
TLA,44
UIZ,57
TLA,35
UIZ,45
TLA,20
UIZ,28
TLA,16
UIZ,19
TLA,14
UIZ,10
TLA,7
UIZ,5
TLA,8
UIZ,3
TLA,5
UIZ,1
TLA,NA
UIZ,1
TLA,2
UIZ,2
TLA,1
UIZ,1
TLA,2
UIZ,3
TLA,2
UIZ,3
TLA,1
UIZ,2
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,3
UIZ,6
TLA,8
UIZ,13
TLA,17
UIZ,22
TLA,27
UIZ,38
TLA,44
UIZ,57
TLA,58
UIZ,83
TLA,74
UIZ,94
TLA,83
UIZ,105
TLA,82
UIZ,112
TLA,68
UIZ,85
TLA,42
UIZ,68
TLA,NA
UIZ,37
TLA,NA
UIZ,12
TLA,NA
UIZ,6
TLA,NA
UIZ,3
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,4
UIZ,2
TLA,7
UIZ,2
TLA,3
UIZ,2
TLA,3
UIZ,2
TLA,2
UIZ,2
TLA,8
UIZ,5
TLA,21
UIZ,17
TLA,26
UIZ,30
TLA,40
UIZ,46
TLA,56
UIZ,72
TLA,71
UIZ,90
TLA,83
UIZ,104
TLA,81
UIZ,108
TLA,79
UIZ,101
TLA,63
UIZ,95
TLA,23
UIZ,49
TLA,20
UIZ,14
TLA,16
UIZ,12
TLA,9
UIZ,6
TLA,3
UIZ,4
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,NA
UIZ,3
TLA,NA
UIZ,10
TLA,NA
UIZ,10
TLA,NA
UIZ,5
TLA,3
UIZ,2
TLA,1
UIZ,2
TLA,1
UIZ,2
TLA,3
UIZ,4
TLA,NA
UIZ,9
TLA,NA
UIZ,25
TLA,NA
UIZ,48
TLA,54
UIZ,72
TLA,64
UIZ,71
TLA,75
UIZ,84
TLA,70
UIZ,90
TLA,55
UIZ,93
TLA,49
UIZ,NA
TLA,27
UIZ,31
TLA,6
UIZ,13
TLA,1
UIZ,4
TLA,2
UIZ,4
TLA,6
UIZ,2
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,9
UIZ,4
TLA,19
UIZ,9
TLA,36
UIZ,35
TLA,42
UIZ,46
TLA,44
UIZ,51
TLA,48
UIZ,51
TLA,47
UIZ,52
TLA,44
UIZ,52
TLA,41
UIZ,49
TLA,34
UIZ,41
TLA,23
UIZ,30
TLA,22
UIZ,22
TLA,10
UIZ,21
TLA,5
UIZ,11
TLA,NA
UIZ,2
TLA,NA
UIZ,4
TLA,NA
UIZ,7
TLA,NA
UIZ,6
TLA,NA
UIZ,6
TLA,NA
UIZ,12
TLA,NA
UIZ,4
TLA,NA
UIZ,2
TLA,0
UIZ,1
TLA,1
UIZ,2
TLA,3
UIZ,4
TLA,9
UIZ,10
TLA,21
UIZ,23
TLA,30
UIZ,41
TLA,47
UIZ,60
TLA,61
UIZ,74
TLA,77
UIZ,85
TLA,75
UIZ,89
TLA,75
UIZ,89
TLA,61
UIZ,85
TLA,28
UIZ,51
TLA,NA
UIZ,30
TLA,NA
UIZ,4
TLA,NA
UIZ,18
TLA,1
UIZ,22
TLA,1
UIZ,16
TLA,1
UIZ,19
TLA,NA
UIZ,13
TLA,1
UIZ,9
TLA,4
UIZ,5
TLA,2
UIZ,4
TLA,1
UIZ,3
TLA,2
UIZ,2
TLA,1
UIZ,2
TLA,4
UIZ,4
TLA,10
UIZ,10
TLA,20
UIZ,38
TLA,45
UIZ,70
TLA,69
UIZ,85
TLA,88
UIZ,101
TLA,99
UIZ,102
TLA,98
UIZ,95
TLA,84
UIZ,84
TLA,53
UIZ,75
TLA,NA
UIZ,57
TLA,NA
UIZ,18
TLA,NA
UIZ,4
TLA,NA
UIZ,7
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,16
UIZ,5
TLA,15
UIZ,12
TLA,15
UIZ,2
TLA,14
UIZ,5
TLA,12
UIZ,3
TLA,8
UIZ,3
TLA,NA
UIZ,1
TLA,NA
UIZ,6
TLA,NA
UIZ,18
TLA,9
UIZ,13
TLA,21
UIZ,21
TLA,27
UIZ,34
TLA,40
UIZ,50
TLA,53
UIZ,63
TLA,76
UIZ,78
TLA,81
UIZ,87
TLA,73
UIZ,91
TLA,67
UIZ,94
TLA,34
UIZ,78
TLA,15
UIZ,62
TLA,NA
UIZ,37
TLA,3
UIZ,12
TLA,4
UIZ,1
TLA,NA
UIZ,2
TLA,NA
UIZ,1
TLA,NA
UIZ,2
TLA,NA
UIZ,1
TLA,3
UIZ,2
TLA,1
UIZ,3
TLA,0
UIZ,2
TLA,0
UIZ,2
TLA,1
UIZ,2
TLA,NA
UIZ,4
TLA,7
UIZ,12
TLA,20
UIZ,32
TLA,45
UIZ,55
TLA,57
UIZ,68
TLA,61
UIZ,77
TLA,61
UIZ,69
TLA,62
UIZ,86
TLA,60
UIZ,86
TLA,53
UIZ,70
TLA,26
UIZ,26
TLA,NA
UIZ,21
TLA,NA
UIZ,18
TLA,NA
UIZ,7
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,NA
UIZ,2
TLA,1
UIZ,2
TLA,4
UIZ,2
TLA,4
UIZ,1
TLA,5
UIZ,2
TLA,4
UIZ,2
TLA,1
UIZ,2
TLA,3
UIZ,6
TLA,15
UIZ,21
TLA,37
UIZ,42
TLA,43
UIZ,62
TLA,63
UIZ,71
TLA,70
UIZ,83
TLA,80
UIZ,100
TLA,84
UIZ,114
TLA,78
UIZ,109
TLA,70
UIZ,95
TLA,56
UIZ,82
TLA,40
UIZ,68
TLA,31
UIZ,26
TLA,2
UIZ,16
TLA,1
UIZ,17
TLA,NA
UIZ,29
TLA,NA
UIZ,39
TLA,NA
UIZ,33
TLA,NA
UIZ,19
TLA,NA
UIZ,19
TLA,NA
UIZ,14
TLA,3
UIZ,6
TLA,1
UIZ,2
TLA,1
UIZ,2
