origin,gender,freshwater,marine
Alaskan,2,108,368
Alaskan,1,131,355
Alaskan,1,105,469
Alaskan,2,86,506
Alaskan,1,99,402
Alaskan,2,87,423
Alaskan,1,94,440
Alaskan,2,117,489
Alaskan,2,79,432
Alaskan,1,99,403
Alaskan,1,114,428
Alaskan,2,123,372
Alaskan,1,123,372
Alaskan,2,109,420
Alaskan,2,112,394
Alaskan,1,104,407
Alaskan,2,111,422
Alaskan,2,126,423
Alaskan,2,105,434
Alaskan,1,119,474
Alaskan,1,114,396
Alaskan,2,100,470
Alaskan,2,84,399
Alaskan,2,102,429
Alaskan,2,101,469
Alaskan,2,85,444
Alaskan,1,109,397
Alaskan,2,106,442
Alaskan,1,82,431
Alaskan,2,118,381
Alaskan,1,105,388
Alaskan,1,121,403
Alaskan,1,85,451
Alaskan,1,83,453
Alaskan,1,53,427
Alaskan,1,95,411
Alaskan,1,76,442
Alaskan,1,95,426
Alaskan,2,87,402
Alaskan,1,70,397
Alaskan,2,84,511
Alaskan,2,91,469
Alaskan,1,74,451
Alaskan,2,101,474
Alaskan,1,80,398
Alaskan,1,95,433
Alaskan,2,92,404
Alaskan,1,99,481
Alaskan,2,94,491
Alaskan,1,87,480
Canadian,1,129,420
Canadian,1,148,371
Canadian,1,179,407
Canadian,2,152,381
Canadian,2,166,377
Canadian,2,124,389
Canadian,1,156,419
Canadian,2,131,345
Canadian,1,140,362
Canadian,2,144,345
Canadian,2,149,393
Canadian,1,108,330
Canadian,1,135,355
Canadian,2,170,386
Canadian,1,152,301
Canadian,1,153,397
Canadian,1,152,301
Canadian,2,136,438
Canadian,2,122,306
Canadian,1,148,383
Canadian,2,90,385
Canadian,1,145,337
Canadian,1,123,364
Canadian,2,145,376
Canadian,2,115,354
Canadian,2,134,383
Canadian,1,117,355
Canadian,2,126,345
Canadian,1,118,379
Canadian,2,120,369
Canadian,1,153,403
Canadian,2,150,354
Canadian,1,154,390
Canadian,1,155,349
Canadian,2,109,325
Canadian,2,117,344
Canadian,1,128,400
Canadian,1,144,403
Canadian,2,163,370
Canadian,2,145,355
Canadian,1,133,375
Canadian,1,128,383
Canadian,2,123,349
Canadian,1,144,373
Canadian,2,140,388
Canadian,2,150,339
Canadian,2,124,341
Canadian,1,125,346
Canadian,1,153,352
Canadian,1,108,339
