id,as,lsg,oldstat,func,rel,assn,drink,status,howknow,cucard,survey,change,why,time,shift,shtime,fam,knnosw,nosw,inc,usenow,nowsw,x,y,distneares,distcw,distpw,cw50,cw100,cw150,pw50,pw100,pw150,ed,pw,cw,shifted,c50,c50to100,c100to150,p50,p50to100,p100to150,switch,as1to2,as2to3,as3to4,nearest,ed4,safeswitch,safemislab,safenolabe,switchfunc,arsenic,newstat,as4to965,lon,lat
1,236,0,12,1,1,0,0,0,12,2,1,pw,1,30,NA,NA,NA,NA,NA,NA,,NA,260867.5313,2632851.25,16.82600021,165.654007,16.82600021,0,0,0,1,1,3,0,1,0,0,0,0,0,1,0,1,switch,0,1,0,0to50,none,NA,NA,NA,NA,151to250,unsafe,0,90.64868265,23.78648455
2,71,1,2,1,1,0,1,0,12,1,1,pw,1,24,NA,NA,NA,34,NA,NA,,NA,260817.375,2632870.25,47.3219986,135.822998,47.3219986,0,0,1,1,2,7,0,1,0,0,0,0,1,1,1,1,switch,0,0,0,0to50,none,NA,NA,NA,NA,51to150,unsafe,0,90.64823073,23.78664211
3,207,1,3,1,3,0,1,0,1,0,1,no,NA,NA,NA,NA,NA,NA,NA,NA,,NA,260873.7813,2632848.75,20.96699905,170.1230011,20.96699905,0,0,0,1,1,3,10,0,0,0,0,0,0,1,0,1,noswitch,0,1,0,0to50,6to10,NA,NA,NA,NA,151to250,unsafe,0,90.64873896,23.78646382
4,115,0,12,1,1,0,0,0,12,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260833,2632839,21.48600006,129.404007,21.48600006,0,0,1,1,1,4,12,1,0,0,0,0,1,1,0,1,switch,1,0,0,0to50,over10,NA,NA,NA,NA,51to150,unsafe,0,90.6483715,23.78638299
5,196,0,12,0,1,1,23,0,12,1,1,pw,0,2,NA,NA,NA,1,NA,NA,,7,260858.3281,2632808.5,32.58200073,141.8410034,32.58200073,0,0,1,1,1,1,12,1,0,0,0,0,1,1,0,0,switch,1,0,0,0to50,over10,NA,NA,NA,NA,151to250,unsafe,0,90.64859971,23.78613009
6,110,0,1,1,2,1,0,0,1,1,1,pw,1,24,NA,NA,NA,NA,1,NA,,NA,260830.2813,2632807.75,40.87400055,114.5820007,40.87400055,0,0,1,1,1,2,14,1,0,0,0,0,1,1,0,1,switch,1,0,0,0to50,over10,NA,NA,NA,NA,51to150,unsafe,0,90.648347,23.78612388
7,141,1,0,0,3,1,1,2,NA,0,0,pw,1,24,NA,NA,NA,NA,NA,NA,,8,260866.9219,2632886.5,47.31399918,183.9720001,47.31399918,0,0,0,1,2,8,0,1,0,0,0,0,0,1,1,2,switch,1,0,0,0to50,none,NA,NA,NA,NA,51to150,unsafe,0,90.64867717,23.78677683
8,390,0,2,1,1,1,0,0,12,0,1,pw,1,12,NA,NA,NA,NA,NA,NA,,NA,260789.875,2632779,69.51799774,69.51799774,89.27899933,0,1,1,0,1,1,9,1,0,0,0,1,0,0,1,0,switch,0,0,1,50to100,6to10,NA,NA,NA,NA,351to450,unsafe,0,90.64798291,23.78588551
9,297,0,2,1,1,1,0,0,12,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260801.1719,2632774.25,80.71099854,80.71099854,85.17500305,0,1,1,0,1,1,4,1,0,0,0,1,0,0,1,0,switch,0,1,0,50to100,1to5,NA,NA,NA,NA,251to350,unsafe,0,90.6480847,23.78584612
10,324,0,1,1,1,0,0,0,1,1,1,pw,1,6,NA,NA,NA,NA,NA,NA,,NA,260774.8281,2632784.25,55.14599991,55.14599991,97.56900024,0,1,1,0,1,2,10,1,0,0,0,1,0,0,1,1,switch,0,0,1,50to100,6to10,NA,NA,NA,NA,251to350,unsafe,0,90.64784733,23.78592904
11,328,0,12,1,1,1,0,0,1,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260773.0313,2632778,52.64699936,52.64699936,102.7340012,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,1,switch,0,0,1,50to100,none,NA,NA,NA,NA,251to350,unsafe,0,90.64783114,23.78587722
13,252,0,12,1,1,1,0,0,12,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260790.375,2632747.75,75.0719986,75.0719986,112.9899979,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,switch,0,1,0,50to100,none,NA,NA,NA,NA,251to350,unsafe,0,90.6479874,23.7856264
14,313,0,1,1,1,1,0,0,1,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260741.3594,2632753.75,29.77400017,29.77400017,142.6049957,1,1,1,0,0,1,5,1,0,0,1,0,0,0,0,1,switch,0,0,1,0to50,1to5,NA,NA,NA,NA,251to350,unsafe,0,90.64754575,23.78567616
15,394,2,0,0,3,0,0,0,2,0,0,dugnew,NA,12,NA,NA,NA,NA,NA,NA,,NA,260750.8281,2632771.25,30.59600067,30.59600067,124.762001,1,1,1,0,0,2,0,NA,NA,1,1,0,0,0,0,1,switch,0,0,1,0to50,none,NA,NA,NA,NA,351to450,unsafe,0,90.64763108,23.78582126
16,304,1,0,1,3,0,0,0,2,1,1,cw,1,12,NA,NA,NA,NA,NA,NA,,NA,260751.8125,2632789.5,34.50400162,34.50400162,114.7009964,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0,1,switch,0,0,1,0to50,none,NA,NA,NA,NA,251to350,unsafe,0,90.64763995,23.78597258
17,291,1,2,1,1,1,0,0,12,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260773.7344,2632810.25,63.80400085,63.80400085,86.28199768,0,1,1,0,1,3,0,1,0,0,0,1,0,0,1,1,switch,0,1,0,50to100,none,NA,NA,NA,NA,251to350,unsafe,0,90.64783749,23.78614463
18,321,0,1,1,1,1,0,0,1,1,1,pw,1,18,NA,NA,NA,NA,NA,NA,,NA,260783.4375,2632821.25,73.60399628,78.11499786,73.60399628,0,1,1,0,1,3,0,1,0,0,0,1,0,0,1,1,switch,0,0,1,50to100,none,NA,NA,NA,NA,251to350,unsafe,0,90.64792492,23.78623583
19,135,0,1,0,1,1,0,0,1,1,1,pw,1,30,NA,NA,NA,NA,NA,NA,,NA,260812.7188,2632825,44.61999893,104.8410034,44.61999893,0,0,1,1,1,3,0,1,0,0,0,0,1,1,0,1,switch,1,0,0,0to50,none,NA,NA,NA,NA,51to150,unsafe,0,90.64818876,23.78626691
20,170,0,1,1,1,1,0,0,1,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260811.4375,2632788.5,67.65499878,91.95899963,67.65499878,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,switch,1,0,0,50to100,none,NA,NA,NA,NA,151to250,unsafe,0,90.6481772,23.78596427
21,180,0,1,1,1,1,0,0,1,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260809.5,2632773.75,80.66000366,89.03500366,80.66000366,0,1,1,0,1,1,7,1,0,0,0,1,0,0,1,0,switch,1,0,0,50to100,6to10,NA,NA,NA,NA,151to250,unsafe,0,90.64815974,23.78584197
24,233,0,12,1,1,1,0,0,1,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260701.5313,2632822,50.5340004,50.5340004,86.21299744,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,switch,0,1,0,50to100,none,NA,NA,NA,NA,151to250,unsafe,0,90.64718691,23.78624208
25,283,1,2,1,1,0,0,0,12,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260692.5,2632789.5,31.42200089,31.42200089,119.5,1,1,1,0,0,1,10,1,0,0,1,0,0,0,0,1,switch,0,1,0,0to50,6to10,NA,NA,NA,NA,251to350,unsafe,0,90.64710552,23.7859726
26,179,0,1,1,2,1,1,0,1,1,1,pw,1,24,NA,NA,NA,34,NA,NA,,NA,260689.2031,2632764.5,33.00899887,33.00899887,144.5930023,1,1,1,0,0,1,7,1,0,0,1,0,0,0,0,1,switch,1,0,0,0to50,6to10,NA,NA,NA,NA,151to250,unsafe,0,90.64707581,23.78576531
27,254,0,1,1,1,0,0,0,1,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260688.5313,2632754.75,37.87099838,37.87099838,154.3769989,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,switch,0,1,0,0to50,none,NA,NA,NA,NA,251to350,unsafe,0,90.64706975,23.78568447
28,225,0,12,1,2,1,0,0,1,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260698.0156,2632732.25,48.3730011,48.3730011,175.9519958,1,1,1,0,0,0,5,1,0,0,1,0,0,0,0,0,switch,0,1,0,0to50,1to5,NA,NA,NA,NA,151to250,unsafe,0,90.6471552,23.78549791
29,242,1,2,1,1,0,0,0,1,0,0,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260696.1719,2632734.5,47.30899811,47.30899811,173.8209991,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,switch,0,1,0,0to50,none,NA,NA,NA,NA,151to250,unsafe,0,90.64713859,23.78551656
30,207,0,12,0,1,0,0,0,1,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260722.8125,2632721,54.01399994,54.01399994,177.8820038,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,switch,0,1,0,50to100,none,NA,NA,NA,NA,151to250,unsafe,0,90.64737863,23.78540462
31,162,2,2,1,1,0,0,0,2,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260677.7969,2632722.5,67.78500366,67.78500366,187.901001,0,1,1,0,0,0,8,1,0,0,0,1,0,0,0,0,switch,1,0,0,50to100,6to10,NA,NA,NA,NA,151to250,unsafe,0,90.64697302,23.78541707
32,234,0,12,1,1,1,0,0,2,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260679.2031,2632705.25,81.13800049,81.13800049,204.6970062,0,1,1,0,0,0,8,1,0,0,0,1,0,0,0,0,switch,0,1,0,50to100,6to10,NA,NA,NA,NA,151to250,unsafe,0,90.64698568,23.78527404
33,349,0,12,1,1,0,0,0,1,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260678.0938,2632689.5,95.45999908,95.45999908,220.3800049,0,1,1,0,0,0,10,1,0,0,0,1,0,0,0,0,switch,0,0,1,50to100,6to10,NA,NA,NA,NA,251to350,unsafe,0,90.64697568,23.78514345
34,308,0,1,0,1,1,0,0,1,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260670.7344,2632696.5,93.00099945,93.00099945,214.6340027,0,1,1,0,0,0,3,1,0,0,0,1,0,0,0,0,switch,0,0,1,50to100,1to5,NA,NA,NA,NA,251to350,unsafe,0,90.64690937,23.78520149
35,213,0,12,1,1,0,0,0,0,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260676.0781,2632669.5,114.4179993,114.4179993,208.4290009,0,0,1,0,0,0,16,1,0,0,0,0,1,0,0,0,switch,0,1,0,100to150,over10,NA,NA,NA,NA,151to250,unsafe,0,90.64695751,23.78497761
36,113,1,2,0,1,1,0,0,1,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260655.0156,2632660.75,131.7449951,131.7449951,197.2319946,0,0,1,0,0,0,10,1,0,0,0,0,1,0,0,0,switch,1,0,0,100to150,6to10,NA,NA,NA,NA,51to150,unsafe,0,90.64676773,23.78490507
37,93,1,2,1,1,1,0,0,1,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260644.2656,2632637,157.6289978,157.6289978,173.2039948,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,switch,0,0,0,150plus,6to10,NA,NA,NA,NA,51to150,unsafe,0,90.64667086,23.78470815
38,336,2,0,1,1,1,0,2,NA,1,1,pw,1,12,NA,NA,NA,NA,NA,NA,,NA,260664.6094,2632633.75,151.9199982,151.9199982,171.3220062,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,switch,0,0,1,150plus,6to10,NA,NA,NA,NA,251to350,unsafe,0,90.64685416,23.78468119
40,83,0,12,1,1,0,0,0,1,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260560.5313,2632547.5,105.6679993,148.2100067,105.6679993,0,0,1,0,0,3,10,1,0,0,0,0,1,0,0,1,switch,0,0,0,100to150,6to10,NA,NA,NA,NA,51to150,unsafe,0,90.64591634,23.78396607
41,206,3,0,0,2,1,0,2,NA,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260546.1875,2632523,98.77899933,120.8970032,98.77899933,0,0,1,0,1,4,0,1,0,0,0,0,1,0,1,1,switch,0,1,0,50to100,none,NA,NA,NA,NA,151to250,unsafe,0,90.64578709,23.78376292
42,137,0,1,1,1,1,1,0,1,0,0,pw,1,24,NA,NA,NA,3,NA,NA,,NA,260546.0313,2632533.75,105.6259995,131.3370056,105.6259995,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,1,switch,1,0,0,100to150,none,NA,NA,NA,NA,51to150,unsafe,0,90.64578569,23.78385206
45,148,0,12,1,1,1,0,0,1,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260582.3438,2632581.75,125.3170013,187.6060028,125.3170013,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,1,switch,1,0,0,100to150,1to5,NA,NA,NA,NA,51to150,unsafe,0,90.64611289,23.78425005
57,267,3,0,0,1,1,0,0,2,0,0,cw,1,24,NA,NA,NA,NA,NA,NA,,NA,260772.25,2632874.75,72.54100037,112.4260025,72.54100037,0,0,1,0,3,7,0,0,1,0,0,0,1,0,1,1,switch,0,1,0,50to100,none,NA,NA,NA,NA,251to350,unsafe,0,90.64782413,23.78667943
58,252,1,0,1,3,1,23,2,NA,0,0,no,NA,NA,NA,NA,NA,NA,NA,NA,,2,260711.0938,2632906.75,3.618000031,131.977005,3.618000031,0,0,1,1,1,7,5,0,0,0,0,0,1,1,0,2,noswitch,0,1,0,0to50,1to5,NA,NA,NA,NA,251to350,unsafe,0,90.6472731,23.78694478
59,248,1,2,1,2,0,0,0,2,1,1,pw,1,36,NA,NA,NA,NA,NA,NA,,NA,260798.9375,2632896,58.16699982,144.1809998,58.16699982,0,0,1,0,3,9,0,1,0,0,0,0,1,0,1,2,switch,0,1,0,50to100,none,NA,NA,NA,NA,151to250,unsafe,0,90.64806461,23.78685562
60,447,0,2,1,1,0,1,0,12,1,1,pw,1,24,NA,NA,NA,14,NA,NA,,NA,260792.1875,2632877.75,72.34600067,125.1780014,72.34600067,0,0,1,0,3,7,8,1,0,0,0,0,1,0,1,1,switch,0,0,0,50to100,6to10,NA,NA,NA,NA,351to450,unsafe,1,90.64800378,23.7867043
61,152,0,12,1,1,0,0,0,12,1,1,pw,1,36,NA,NA,NA,NA,NA,NA,,NA,260805,2632913,40.31800079,161.6999969,40.31800079,0,0,0,1,7,13,0,1,0,0,0,0,0,1,2,2,switch,1,0,0,0to50,none,NA,NA,NA,NA,151to250,unsafe,0,90.64811924,23.78699657
62,180,0,1,1,1,0,0,0,0,1,1,pw,1,36,NA,NA,NA,NA,NA,NA,,NA,260791.2656,2632863.75,67.21900177,113.5439987,67.21900177,0,0,1,0,3,7,0,1,0,0,0,0,1,0,1,1,switch,1,0,0,50to100,none,NA,NA,NA,NA,151to250,unsafe,0,90.64799547,23.78658822
63,51,0,13,1,1,0,23,0,12,1,1,no,NA,NA,NA,NA,NA,NA,NA,NA,,4,260277.4375,2632867.5,99.01300049,452.572998,99.01300049,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,noswitch,0,0,0,50to100,none,NA,NA,NA,NA,51to150,unsafe,0,90.64336567,23.78661948
64,20,0,13,1,1,1,23,1,12,1,1,no,NA,NA,NA,NA,4,NA,NA,NA,,NA,260281.625,2632853,111.6350021,445.7250061,111.6350021,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,noswitch,0,0,0,100to150,1to5,0,1,1,NA,0to50,safe,0,90.64340339,23.78649925
65,64,0,2,1,1,1,0,0,12,1,1,pw,1,24,NA,NA,NA,NA,NA,NA,,NA,260274.0938,2632840,115.913002,451.07901,115.913002,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,switch,0,0,0,100to150,none,NA,NA,NA,NA,51to150,unsafe,0,90.64333553,23.78639147
66,71,3,0,0,1,1,0,0,12,1,1,pw,1,30,NA,NA,NA,NA,NA,NA,,NA,260286.7813,2632836.25,127.098999,437.9960022,127.098999,0,0,0,0,0,1,12,1,0,0,0,0,0,0,0,1,switch,0,0,0,100to150,over10,NA,NA,NA,NA,51to150,unsafe,0,90.64344984,23.78636037
67,41,1,3,1,1,0,23,1,12,0,1,no,NA,NA,NA,NA,6,NA,NA,NA,,NA,260246.0625,2632860.75,82.5739975,482.0700073,82.5739975,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,noswitch,0,0,0,50to100,none,0,1,1,NA,0to50,safe,0,90.64308296,23.78656353
68,5,1,3,1,1,0,23,1,12,0,1,no,NA,NA,NA,NA,5,NA,NA,NA,,NA,260236.1406,2632857.25,80.61299896,491.2279968,80.61299896,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,noswitch,0,0,0,50to100,none,0,1,1,NA,0to50,safe,0,90.64299356,23.78653451
69,16,0,0,1,2,1,23,1,2,1,1,no,NA,NA,NA,NA,3,NA,NA,NA,,NA,260270.8906,2632769.5,174.8119965,441.197998,174.8119965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,noswitch,0,0,0,150plus,none,0,1,0,NA,0to50,safe,0,90.64330664,23.78580691
70,30,0,12,1,1,0,23,1,12,1,1,no,NA,NA,NA,NA,1,NA,NA,NA,,NA,260233.1094,2632745.75,139.9230042,445.2550049,139.9230042,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,noswitch,0,0,0,100to150,1to5,0,0,1,NA,0to50,safe,0,90.64296621,23.78561
71,35,0,3,1,1,1,23,1,12,0,1,no,NA,NA,NA,NA,0,NA,NA,NA,,NA,260194.3438,2632744.5,101.1470032,470.1319885,101.1470032,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,1,noswitch,0,0,0,100to150,6to10,0,1,1,NA,0to50,safe,0,90.64261691,23.78559965
72,21,0,3,1,1,1,23,1,12,0,1,no,NA,NA,NA,NA,0,NA,NA,NA,,NA,260191.4531,2632744.75,98.26300049,472.2999878,98.26300049,0,0,0,0,1,1,9,0,0,0,0,0,0,0,1,0,noswitch,0,0,0,50to100,6to10,0,1,1,NA,0to50,safe,0,90.64259087,23.78560172
73,46,3,0,0,3,1,0,1,12,0,0,cworpw,NA,NA,NA,NA,NA,NA,NA,NA,,NA,260162.8906,2632753.75,70.29399872,498.8059998,70.29399872,0,0,0,0,1,4,5,NA,NA,0,0,0,0,0,1,1,switch,0,0,0,50to100,1to5,1,1,0,0,0to50,safe,0,90.64233351,23.78567636
74,101,2,0,1,1,1,0,2,NA,1,1,dugnew,NA,6,NA,NA,NA,NA,NA,NA,,NA,260164.7031,2632750.75,71.7990036,495.5450134,71.7990036,0,0,0,0,1,4,5,NA,NA,1,0,0,0,0,1,1,switch,1,0,0,50to100,1to5,NA,NA,NA,NA,51to150,unsafe,0,90.64234984,23.78565148
75,28,0,3,1,1,0,23,1,1,0,1,no,NA,NA,NA,NA,3,NA,NA,NA,,NA,260194.75,2632666.25,128.1349945,416.9219971,128.1349945,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,1,noswitch,0,0,0,100to150,6to10,0,1,1,NA,0to50,safe,0,90.64262054,23.78495083
76,74,0,12,1,1,0,0,0,1,1,1,pw,1,36,NA,NA,NA,NA,NA,NA,,NA,260213.1563,2632669.25,141.5359955,404.7130127,141.5359955,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,1,switch,0,0,0,100to150,6to10,NA,NA,NA,NA,51to150,unsafe,0,90.64278639,23.7849757
77,181,2,0,1,1,1,1,2,NA,1,1,pw,1,36,NA,NA,NA,4,NA,NA,,NA,260137.125,2632542.75,84.64600372,406.4809875,84.64600372,0,0,0,0,2,3,0,1,0,0,0,0,0,0,1,1,switch,1,0,0,50to100,none,NA,NA,NA,NA,151to250,unsafe,0,90.64210127,23.78392682
78,269,0,2,1,1,0,0,0,2,0,1,pw,1,36,NA,NA,NA,NA,NA,NA,,NA,260119.7656,2632530.25,65.93199921,419.0299988,65.93199921,0,0,0,0,3,3,0,1,0,0,0,0,0,0,1,0,switch,0,1,0,50to100,none,NA,NA,NA,NA,251to350,unsafe,0,90.64194485,23.78382318
79,485,0,12,1,1,1,1,0,12,1,1,pw,1,36,NA,NA,NA,4,NA,NA,,NA,260121.6563,2632522.25,67.94000244,414.8359985,67.94000244,0,0,0,0,3,4,0,1,0,0,0,0,0,0,1,1,switch,0,0,0,50to100,none,NA,NA,NA,NA,451to550,unsafe,1,90.64196189,23.78375685
80,318,2,0,1,1,0,0,0,2,1,1,pw,1,36,NA,NA,NA,NA,NA,NA,,NA,260117.8438,2632517.25,64.69799805,417.1499939,64.69799805,0,0,0,0,3,4,6,1,0,0,0,0,0,0,1,1,switch,0,0,1,50to100,6to10,NA,NA,NA,NA,251to350,unsafe,0,90.64192753,23.78371539
81,506,0,12,1,1,1,0,0,2,1,1,pw,1,36,NA,NA,NA,NA,NA,NA,,NA,260125.1719,2632498.5,62.63499832,405.3510132,62.63499832,0,0,0,0,3,4,10,1,0,0,0,0,0,0,1,1,switch,0,0,0,50to100,6to10,NA,NA,NA,NA,451to550,unsafe,1,90.64199355,23.78355992
82,269,0,12,1,2,0,0,0,12,1,1,pw,1,36,NA,NA,NA,NA,NA,NA,,NA,260123.3281,2632479,47.9090004,403.1149902,47.9090004,0,0,0,1,3,5,10,1,0,0,0,0,0,1,1,1,switch,0,1,0,0to50,6to10,NA,NA,NA,NA,251to350,unsafe,0,90.64197693,23.78339823
83,57,0,2,1,1,0,0,0,12,0,1,pw,1,36,NA,NA,NA,NA,NA,NA,,NA,260063.2031,2632410,24.00300026,414.42099,24.00300026,0,0,0,2,4,5,12,1,0,0,0,0,0,1,1,1,switch,0,0,0,0to50,over10,NA,NA,NA,NA,51to150,unsafe,0,90.64143516,23.78282612
84,33,0,12,1,1,1,23,1,12,1,1,no,NA,NA,NA,NA,3,NA,NA,NA,,NA,260039.0938,2632380.5,23.30900002,415.6679993,23.30900002,0,0,0,2,3,6,6,0,0,0,0,0,0,1,1,1,noswitch,0,0,0,0to50,6to10,0,0,1,NA,0to50,safe,0,90.64121791,23.78258152
85,16,0,13,1,1,1,23,1,12,1,1,no,NA,NA,NA,NA,0,NA,NA,NA,,NA,256879.9688,2633249.25,10.23400021,431.3259888,10.23400021,0,0,0,3,13,24,5,0,0,0,0,0,0,1,2,3,noswitch,0,0,0,0to50,1to5,0,1,1,NA,0to50,safe,0,90.61275319,23.78978588
86,5,0,3,1,1,1,1,1,12,1,1,pw,0,96,NA,NA,0,NA,NA,NA,,NA,256886.5781,2633228,13.11999989,423.6199951,13.11999989,0,0,0,4,15,26,10,1,0,0,0,0,0,1,3,3,switch,0,0,0,0to50,6to10,1,1,1,1,0to50,safe,0,90.61281274,23.78960968
