ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Area,Recommended,PatternType
100346,Sexy,Low,0,free,Winter,v-neck,sleevless,empire,cotton,chiffon,ruffles,C,1,solid
100348,Casual,Low,4.8,free,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,D,1,print
100349,vintage,Average,4.7,M,Spring,v-neck,sleevless,natural,chiffonfabric,other,sashes,A,1,geometric
100351,sexy,Average,0,free,winter,o-neck,short,natural,polyster,broadcloth,lace,A,1,patchwork
100352,Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,chiffon,embroidary,C,1,patchwork
100353,bohemian,Low,4.6,free,winter,o-neck,sleevless,empire,polyster,chiffon,sashes,A,1,patchwork
100354,Casual,Average,4.7,M,Summer,o-neck,sleevless,natural,polyster,chiffon,button,B,0,character
100355,sexy,Medium,4.2,M,Winter,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,C,1,animal
100356,Sexy,Average,0,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,lace,C,0,print
100359,Sexy,Low,4,S,Automn,o-neck,sleevless,empire,cotton,jersey,button,B,1,solid
100362,Casual,Average,0,free,Summer,o-neck,sleevless,natural,cotton,worsted,lace,D,0,floral
100363,Casual,Average,0,L,Spring,boat-neck,sleevless,natural,cotton,broadcloth,applique,A,1,patchwork
100364,Casual,Low,4.4,M,Summer,o-neck,halfsleeve,empire,chiffonfabric,chiffon,bow,A,0,solid
100366,Casual,Average,4.1,M,Automn,v-neck,full,natural,wool,chiffon,sashes,A,1,dot
100368,Sexy,Average,4.7,M,winter,v-neck,sleevless,natural,polyster,broadcloth,ruffles,D,0,patchwork
100369,party,High,4.6,M,winter,Sweetheart,sleevless,natural,polyster,chiffon,beading,C,0,character
100370,party,very-high,4.8,L,Spring,Sweetheart,sleevless,empire,microfiber,organza,beading,E,1,leopard
100371,cute,Average,4.4,free,Spring,Sweetheart,sleevless,empire,spandex,tulle,ruched,C,1,solid
100372,Casual,Low,4.5,free,Automn,v-neck,short,natural,silk,worsted,lace,B,0,solid
100374,Sexy,Low,4.7,free,Summer,turndowncollor,sleevless,natural,cotton,broadcloth,sashes,A,1,solid
100375,Casual,Low,5,S,Spring,o-neck,sleevless,natural,chiffonfabric,woolen,sashes,A,0,print
100376,Casual,Average,4.9,M,Automn,v-neck,sleevless,natural,polyster,chiffon,applique,C,1,leapord
100378,Casual,Low,0,free,Winter,boat-neck,full,natural,other,other,lace,A,0,leopard
100379,vintage,Average,4.7,M,Summer,v-neck,short,natural,rayon,woolen,beading,B,0,print
100380,bohemian,Average,4.1,free,Summer,o-neck,thressqatar,natural,wool,chiffon,hollowout,B,0,patchwork
100381,Casual,High,0,L,winter,v-neck,thressqatar,natural,polyster,sattin,ruffles,C,1,solid
100383,Casual,Low,0,free,Spring,o-neck,short,natural,polyster,tulle,hollowout,A,0,solid
100384,Casual,Medium,4.8,M,Winter,peterpan-collor,short,natural,polyster,chiffon,lace,E,0,patchwork
100385,Casual,Average,4.5,M,Summer,o-neck,full,natural,cotton,terry,lace,E,0,solid
100386,Casual,Average,3.5,M,winter,v-neck,short,natural,cashmere,satin,bow,B,0,solid
100387,Casual,Average,4.5,L,Summer,o-neck,short,natural,cotton,jersey,pockets,C,0,solid
100388,Sexy,Low,0,free,winter,o-neck,sleevless,natural,lycra,chiffon,hollowout,B,0,solid
100389,Sexy,Average,0,S,Automn,slash-neck,short,natural,nylon,knitted,lace,B,0,solid
100390,cute,Low,0,free,Summer,peterpan-collor,short,empire,cotton,broadcloth,applique,D,0,print
100391,Casual,Low,4.7,M,Spring,o-neck,full,natural,polyster,chiffon,hollowout,E,1,solid
100393,sexy,Low,4.3,M,Automn,open,short,natural,lace,other,lace,B,0,print
